Date,Price,Open,High,Low,Vol.,Change
15-11-2013,4549,4522.63,4549,4512.68,-,0.65
18-11-2013,4519.46,4553.79,4561.62,4503.75,-,-0.65
19-11-2013,4483.36,4514.81,4547.44,4475.95,-,-0.8
20-11-2013,4482.88,4494.03,4520.4,4469.53,-,-0.01
21-11-2013,4524.69,4486.49,4530.39,4472.7,-,0.93
22-11-2013,4516.03,4526.18,4526.18,4496.54,-,-0.19
25-11-2013,4526.18,4524.41,4537.56,4518.8,-,0.22
26-11-2013,4552.82,4534.72,4565.86,4534.72,-,0.59
27-11-2013,4574.56,4556.06,4575.99,4556.06,-,0.48
29-11-2013,4573.61,4584.22,4593.65,4565.48,-,-0.02
02-12-2013,4534.32,4571.77,4579.87,4526.33,-,-0.86
03-12-2013,4532.67,4529.52,4538.76,4510.54,-,-0.04
04-12-2013,4492.48,4520.32,4527.74,4457.05,-,-0.89
05-12-2013,4479.14,4497.08,4503.56,4477.1,-,-0.3
06-12-2013,4454.36,4493.56,4499.28,4449.04,-,-0.55
09-12-2013,4454.86,4458.33,4477.65,4448.64,-,0.01
10-12-2013,4441.52,4448.01,4465.03,4433.5,-,-0.3
11-12-2013,4413.4,4443.65,4458.12,4409.43,-,-0.63
12-12-2013,4404.43,4412.07,4423.36,4395.76,-,-0.2
13-12-2013,4405.44,4414.54,4430.48,4397,-,0.02
16-12-2013,4426.9,4414.22,4442.97,4414.22,-,0.49
17-12-2013,4417.61,4428.3,4436,4404.93,-,-0.21
18-12-2013,4483.23,4418.89,4484.75,4388.34,-,1.49
19-12-2013,4459.97,4477.56,4478.35,4449.86,-,-0.52
20-12-2013,4502.6,4469.69,4511.6,4462.84,-,0.96
23-12-2013,4526.77,4512.44,4536.71,4508.6,-,0.54
24-12-2013,4536.45,4527.2,4547.15,4527.2,-,0.21
26-12-2013,4555.51,4541.52,4565.58,4541.52,-,0.42
27-12-2013,4526.96,4559.37,4566.65,4522.63,-,-0.63
30-12-2013,4547.84,4526.61,4558.91,4516.61,-,0.46
31-12-2013,4551.15,4551.79,4566.58,4541.73,-,0.07
02-01-2014,4522.45,4545.06,4558.85,4512.12,-,-0.63
03-01-2014,4526.22,4523.62,4542.73,4512.64,-,0.08
